id;defect_number;description;version;status;date_identified;date_closed;comments
1;partnershi;drive New Assistant;connect Li;CLOSED;2022-03-29;2022-03-29;drive
2;SCSI Manag;Handcrafted interface;Mali Chips;OPEN;2022-03-30;2022-03-30;Grocery Industrial
3;Account En;Integration Identity synthesize;Frozen oli;CLOSED;2022-03-29;2022-03-30;benchmark Liaison
4;Extension ;synthesizing interface;Stand-alon;IN_PROGRESS;2022-03-29;2022-03-29;XML
5;Buckingham;state Falls;Saint;OPEN;2022-03-29;2022-03-30;Loan Dynamic
6;virtual Tu;XML dynamic;Assurance;OPEN;2022-03-29;2022-03-29;Function-based Investment
7;Solutions ;Cotton Handcrafted Chips;responsive;IN_PROGRESS;2022-03-29;2022-03-29;Configuration connecting
8;user-centr;Developer;Burundi pa;OPEN;2022-03-29;2022-03-29;white Director
9;Corners Ha;Generic Toys;high-level;OPEN;2022-03-29;2022-03-30;transmitting Vermont bluetooth
10;Italy neur;Agent Web;Wooden com;OPEN;2022-03-29;2022-03-29;AI
